Order_ID,Order_Date,Ship_Date,Customer_ID,Product_ID,Category,Sub_Category,Quantity,Sales,Discount,Profit,Return_Status
ORD-100001,2024-04-12,2024-04-13,CUST-1065,PROD-372,Beauty,Makeup,4,48722.97,0.15,3748.03,No
ORD-100002,2023-11-30,2023-12-01,CUST-1077,PROD-460,Books,Education,3,45804.79,0.13,-744.55,Yes
ORD-100003,2023-02-25,2023-03-02,CUST-1162,PROD-315,Books,Fiction,4,4462.84,0.26,574.03,Yes
ORD-100004,2024-03-25,2024-03-27,CUST-1173,PROD-330,Fashion,Footwear,2,44531.09,0.09,9932.66,No
ORD-100005,2023-07-05,2023-07-08,CUST-1284,PROD-437,Fashion,Men Clothing,4,12943.35,0.15,511.53,No
ORD-100006,2024-08-27,2024-08-30,CUST-1218,PROD-376,Beauty,Makeup,3,45949.16,0.12,10432.07,No
ORD-100007,2023-03-15,2023-03-19,CUST-1010,PROD-251,Books,Education,4,42761.48,0.17,-3510.44,No
ORD-100008,2024-06-14,2024-06-16,CUST-1031,PROD-370,Beauty,Makeup,4,7873.31,0.05,616.68,No
ORD-100009,2024-01-12,2024-01-17,CUST-1081,PROD-301,Fashion,Men Clothing,4,22433.08,0.13,-1531.63,No
ORD-100010,2023-06-05,2023-06-09,CUST-1051,PROD-291,Fashion,Footwear,3,36534.9,0.07,-1403.24,Yes
ORD-100011,2023-05-08,2023-05-11,CUST-1125,PROD-239,Electronics,Smartwatch,5,29121.35,0.21,-2146.74,No
ORD-100012,2024-04-09,2024-04-13,CUST-1007,PROD-478,Fashion,Women Clothing,3,452.0,0.25,-8.49,No
ORD-100013,2023-10-24,2023-10-29,CUST-1143,PROD-400,Home & Kitchen,Furniture,3,8304.41,0.25,1690.58,No
ORD-100014,2023-09-30,2023-10-04,CUST-1143,PROD-237,Electronics,Mobile,1,41208.6,0.16,837.51,Yes
ORD-100015,2024-01-06,2024-01-10,CUST-1232,PROD-383,Beauty,Makeup,2,25163.47,0.05,708.18,No
ORD-100016,2023-03-18,2023-03-23,CUST-1097,PROD-277,Beauty,Skincare,4,36873.38,0.03,-2862.93,No
ORD-100017,2023-12-15,2023-12-16,CUST-1078,PROD-325,Home & Kitchen,Cookware,4,14135.38,0.1,342.68,No
ORD-100018,2023-04-30,2023-05-02,CUST-1066,PROD-204,Electronics,Mobile,5,30724.92,0.2,-120.43,No
ORD-100019,2024-10-04,2024-10-08,CUST-1200,PROD-450,Beauty,Makeup,4,38571.53,0.24,6364.86,No
ORD-100020,2023-05-03,2023-05-06,CUST-1189,PROD-204,Beauty,Skincare,2,26288.94,0.0,-658.95,Yes
ORD-100021,2024-01-28,2024-01-31,CUST-1112,PROD-450,Beauty,Skincare,5,36613.84,0.13,7186.39,Yes
ORD-100022,2024-07-19,2024-07-21,CUST-1286,PROD-391,Fashion,Men Clothing,4,31539.97,0.21,2077.31,No
ORD-100023,2024-03-21,2024-03-25,CUST-1167,PROD-459,Home & Kitchen,Decor,2,17086.58,0.16,943.67,No
ORD-100024,2024-10-13,2024-10-16,CUST-1243,PROD-209,Books,Education,5,22983.97,0.05,-1166.74,No
ORD-100025,2023-07-23,2023-07-27,CUST-1085,PROD-378,Home & Kitchen,Decor,3,15407.98,0.27,1436.55,No
ORD-100026,2023-07-03,2023-07-07,CUST-1235,PROD-200,Fashion,Footwear,3,1302.31,0.26,202.94,Yes
ORD-100027,2024-02-12,2024-02-14,CUST-1104,PROD-209,Books,Education,1,44071.27,0.25,6801.84,No
ORD-100028,2023-08-28,2023-08-29,CUST-1143,PROD-269,Books,Education,5,31139.03,0.05,3643.25,No
ORD-100029,2024-07-05,2024-07-09,CUST-1278,PROD-466,Fashion,Women Clothing,2,46466.38,0.02,-2647.32,Yes
ORD-100030,2024-08-11,2024-08-12,CUST-1063,PROD-414,Home & Kitchen,Furniture,4,21780.6,0.23,307.78,No
ORD-100031,2024-07-10,2024-07-13,CUST-1201,PROD-231,Electronics,Headphones,2,16630.25,0.24,2094.23,Yes
ORD-100032,2023-06-27,2023-06-28,CUST-1241,PROD-331,Electronics,Laptop,5,15590.71,0.22,-1077.48,No
ORD-100033,2024-03-24,2024-03-28,CUST-1009,PROD-292,Electronics,Mobile,5,30401.83,0.01,6333.96,No
ORD-100034,2024-07-22,2024-07-27,CUST-1059,PROD-390,Beauty,Skincare,3,3384.72,0.28,616.01,No
ORD-100035,2024-03-22,2024-03-23,CUST-1244,PROD-396,Fashion,Men Clothing,4,5360.73,0.06,-517.91,No
ORD-100036,2024-03-09,2024-03-14,CUST-1073,PROD-479,Fashion,Men Clothing,2,16834.27,0.07,-433.85,No
ORD-100037,2024-10-28,2024-11-02,CUST-1207,PROD-347,Electronics,Headphones,4,45959.11,0.15,-4433.27,Yes
ORD-100038,2024-10-13,2024-10-15,CUST-1252,PROD-488,Fashion,Women Clothing,3,29068.8,0.22,-2300.0,No
ORD-100039,2024-03-11,2024-03-13,CUST-1086,PROD-436,Home & Kitchen,Furniture,5,20906.08,0.23,-1920.37,No
ORD-100040,2024-09-18,2024-09-20,CUST-1060,PROD-486,Home & Kitchen,Furniture,1,17673.65,0.21,3918.54,No
ORD-100041,2024-12-07,2024-12-11,CUST-1092,PROD-447,Electronics,Mobile,2,12376.41,0.02,2513.45,No
ORD-100042,2024-01-12,2024-01-16,CUST-1170,PROD-345,Home & Kitchen,Decor,5,18259.43,0.23,-785.55,No
ORD-100043,2024-01-14,2024-01-18,CUST-1229,PROD-238,Beauty,Skincare,1,1613.57,0.24,218.9,No
ORD-100044,2024-05-06,2024-05-08,CUST-1139,PROD-386,Electronics,Smartwatch,4,47100.37,0.07,5034.3,Yes
ORD-100045,2024-01-15,2024-01-19,CUST-1281,PROD-363,Electronics,Smartwatch,1,37539.07,0.07,167.05,No
ORD-100046,2023-08-06,2023-08-08,CUST-1147,PROD-217,Beauty,Skincare,4,1008.25,0.15,145.18,Yes
ORD-100047,2023-02-08,2023-02-09,CUST-1016,PROD-466,Home & Kitchen,Decor,5,35232.0,0.14,6830.32,Yes
ORD-100048,2024-09-03,2024-09-05,CUST-1021,PROD-346,Fashion,Men Clothing,2,41573.13,0.09,9092.84,No
ORD-100049,2024-05-26,2024-05-28,CUST-1077,PROD-439,Home & Kitchen,Furniture,5,18630.8,0.06,74.9,No
ORD-100050,2024-12-13,2024-12-15,CUST-1026,PROD-358,Home & Kitchen,Cookware,3,41261.69,0.17,6110.16,Yes
ORD-100051,2023-04-02,2023-04-05,CUST-1279,PROD-391,Electronics,Laptop,2,28171.25,0.0,-183.64,Yes
ORD-100052,2023-08-13,2023-08-14,CUST-1232,PROD-293,Fashion,Footwear,1,11230.99,0.07,975.16,No
ORD-100053,2023-02-12,2023-02-15,CUST-1050,PROD-369,Home & Kitchen,Furniture,3,5497.57,0.16,712.48,No
ORD-100054,2024-09-05,2024-09-10,CUST-1165,PROD-427,Beauty,Skincare,5,30505.68,0.01,4113.15,No
ORD-100055,2023-09-24,2023-09-28,CUST-1270,PROD-244,Home & Kitchen,Decor,4,9819.43,0.19,-958.84,Yes
ORD-100056,2023-03-09,2023-03-13,CUST-1200,PROD-370,Home & Kitchen,Cookware,2,30937.7,0.09,2909.94,No
ORD-100057,2023-03-30,2023-03-31,CUST-1199,PROD-452,Home & Kitchen,Decor,3,11496.46,0.24,635.09,No
ORD-100058,2023-01-19,2023-01-20,CUST-1119,PROD-457,Fashion,Footwear,4,32877.1,0.07,7761.22,No
ORD-100059,2024-10-05,2024-10-07,CUST-1140,PROD-325,Fashion,Women Clothing,5,1806.52,0.18,166.99,No
ORD-100060,2023-07-31,2023-08-02,CUST-1248,PROD-413,Fashion,Men Clothing,1,33266.45,0.25,945.31,Yes
ORD-100061,2023-04-10,2023-04-14,CUST-1280,PROD-254,Fashion,Footwear,3,29492.08,0.06,6004.74,Yes
ORD-100062,2023-04-14,2023-04-17,CUST-1241,PROD-410,Electronics,Smartwatch,4,32399.17,0.27,5037.52,Yes
ORD-100063,2023-01-04,2023-01-05,CUST-1082,PROD-446,Fashion,Women Clothing,5,3347.2,0.02,131.17,No
ORD-100064,2024-05-28,2024-06-01,CUST-1054,PROD-281,Home & Kitchen,Furniture,1,28910.57,0.25,-2221.7,No
ORD-100065,2023-07-12,2023-07-13,CUST-1191,PROD-476,Books,Fiction,5,42108.97,0.12,8843.63,No
ORD-100066,2023-04-07,2023-04-09,CUST-1084,PROD-367,Electronics,Laptop,3,32295.62,0.16,-2667.85,No
ORD-100067,2024-02-08,2024-02-09,CUST-1279,PROD-322,Electronics,Headphones,4,4969.07,0.1,696.45,Yes
ORD-100068,2024-11-09,2024-11-13,CUST-1267,PROD-460,Books,Education,5,45124.63,0.24,3612.9,No
ORD-100069,2024-09-27,2024-10-01,CUST-1031,PROD-457,Home & Kitchen,Decor,1,24826.83,0.14,215.21,Yes
ORD-100070,2023-11-10,2023-11-11,CUST-1121,PROD-378,Electronics,Smartwatch,5,5980.81,0.09,1134.26,Yes
ORD-100071,2024-10-10,2024-10-11,CUST-1059,PROD-251,Electronics,Headphones,1,20300.4,0.28,1536.1,No
ORD-100072,2023-11-15,2023-11-16,CUST-1137,PROD-491,Home & Kitchen,Furniture,4,3985.73,0.05,220.48,No
ORD-100073,2024-05-07,2024-05-09,CUST-1171,PROD-426,Books,Fiction,2,25223.2,0.19,-603.85,No
ORD-100074,2023-08-05,2023-08-07,CUST-1222,PROD-321,Electronics,Mobile,3,45758.64,0.15,5797.41,Yes
ORD-100075,2023-08-29,2023-08-30,CUST-1086,PROD-448,Electronics,Mobile,3,45179.33,0.25,8232.42,Yes
ORD-100076,2024-09-27,2024-09-29,CUST-1199,PROD-203,Fashion,Footwear,1,35105.09,0.04,-1706.06,Yes
ORD-100077,2024-03-20,2024-03-22,CUST-1097,PROD-294,Electronics,Mobile,2,30134.57,0.04,2133.56,No
ORD-100078,2024-04-05,2024-04-10,CUST-1228,PROD-459,Home & Kitchen,Cookware,1,31522.46,0.1,5383.37,Yes
ORD-100079,2023-12-05,2023-12-07,CUST-1011,PROD-473,Fashion,Men Clothing,5,44570.25,0.01,-2047.81,No
ORD-100080,2023-10-19,2023-10-23,CUST-1168,PROD-357,Fashion,Footwear,5,41825.48,0.26,6690.61,No
ORD-100081,2024-07-28,2024-08-01,CUST-1028,PROD-274,Beauty,Makeup,4,27856.26,0.14,2231.31,No
ORD-100082,2023-12-21,2023-12-22,CUST-1024,PROD-274,Electronics,Mobile,5,44210.69,0.18,5142.81,No
ORD-100083,2024-02-28,2024-03-04,CUST-1038,PROD-242,Electronics,Headphones,2,11962.53,0.07,-409.15,No
ORD-100084,2023-07-04,2023-07-08,CUST-1145,PROD-208,Electronics,Laptop,2,10512.48,0.13,479.7,No
ORD-100085,2024-10-08,2024-10-13,CUST-1097,PROD-454,Electronics,Mobile,5,19166.84,0.28,3966.9,Yes
ORD-100086,2024-02-02,2024-02-04,CUST-1268,PROD-319,Beauty,Makeup,1,31111.77,0.28,3363.61,Yes
